iter	Passed	Remaining
402	11210	8261
403	11238	8233
404	11264	8205
405	11291	8176
406	11319	8148
407	11346	8120
408	11371	8090
409	11398	8062
410	11424	8033
411	11453	8005
412	11481	7978
413	11509	7951
414	11537	7923
415	11563	7894
416	11590	7865
417	11615	7836
418	11642	7807
419	11670	7780
420	11694	7749
421	11718	7719
422	11747	7693
423	11774	7664
424	11799	7635
425	11826	7606
426	11859	7582
427	11884	7552
428	11910	7523
429	11937	7495
430	11965	7468
431	11991	7439
432	12019	7411
433	12047	7383
434	12074	7355
435	12099	7326
436	12126	7298
437	12153	7269
438	12179	7240
439	12204	7211
440	12230	7183
441	12259	7156
442	12287	7128
443	12312	7099
444	12338	7070
445	12366	7042
446	12394	7015
447	12418	6985
448	12445	6957
449	12472	6929
450	12500	6901
451	12528	6874
452	12554	6845
453	12583	6818
454	12610	6790
455	12637	6762
456	12663	6733
457	12690	6705
458	12717	6677
459	12745	6649
460	12772	6621
461	12798	6593
462	12827	6565
463	12858	6539
464	12889	6514
465	12921	6488
466	12956	6464
467	12987	6438
468	13016	6411
469	13044	6383
470	13072	6355
471	13099	6327
472	13126	6299
473	13160	6274
474	13190	6248
475	13218	6220
476	13249	6194
477	13277	6166
478	13310	6141
479	13338	6113
480	13365	6085
481	13393	6057
482	13420	6029
483	13449	6002
484	13478	5974
485	13507	5947
486	13533	5919
487	13561	5891
488	13589	5863
489	13615	5835
490	13641	5806
491	13668	5778
492	13694	5750
493	13721	5722
494	13749	5694
495	13778	5667
496	13804	5638
497	13830	5609
498	13860	5583
499	13889	5555
500	13915	5527
501	13939	5497
502	13966	5470
503	13992	5441
504	14020	5413
505	14047	5385
506	14078	5359
507	14104	5330
508	14130	5302
509	14157	5274
510	14184	5246
511	14209	5217
512	14236	5189
513	14262	5161
514	14287	5132
515	14313	5103
516	14340	5075
517	14366	5047
518	14394	5019
519	14421	4992
520	14447	4963
521	14473	4935
522	14499	4907
523	14526	4879
524	14554	4851
525	14582	4823
526	14608	4795
527	14639	4768
528	14666	4740
529	14694	4713
530	14720	4685
531	14747	4657
532	14774	4629
533	14801	4601
534	14829	4573
535	14855	4545
536	14883	4517
537	14910	4489
538	14936	4461
539	14964	4433
540	14992	4406
541	15020	4378
542	15045	4350
543	15072	4322
544	15097	4293
545	15123	4265
546	15149	4237
547	15176	4209
548	15201	4181
549	15227	4153
550	15254	4125
551	15281	4097
552	15308	4069
553	15336	4041
554	15361	4013
555	15386	3984
556	15412	3956
557	15436	3928
558	15463	3900
559	15489	3872
560	15515	3844
561	15545	3817
562	15575	3790
563	15602	3762
564	15629	3734
565	15655	3706
566	15680	3678
567	15708	3650
568	15734	3622
569	15759	3594
570	15786	3566
571	15813	3538
572	15839	3510
573	15868	3483
574	15896	3455
575	15924	3428
576	15953	3400
577	15979	3372
578	16006	3345
579	16032	3317
580	16059	3289
581	16087	3261
582	16116	3234
583	16145	3206
584	16173	3179
585	16202	3152
586	16230	3124
587	16257	3096
588	16284	3068
589	16311	3041
590	16337	3013
591	16363	2985
592	16391	2957
593	16419	2930
594	16442	2901
595	16470	2874
596	16501	2846
597	16527	2819
598	16555	2791
599	16580	2763
600	16611	2736
601	16636	2708
602	16664	2680
603	16691	2652
604	16716	2624
605	16743	2597
606	16769	2569
607	16795	2541
608	16822	2513
609	16848	2485
610	16872	2457
611	16898	2429
612	16923	2401
613	16947	2373
614	16972	2345
615	17001	2318
616	17033	2291
617	17059	2263
618	17087	2235
619	17112	2208
620	17139	2180
621	17166	2152
622	17189	2124
