iter	Logloss
151	0.5913578306
152	0.5913163342
153	0.591249595
154	0.591230848
155	0.5911731208
156	0.5911399508
157	0.5911188644
158	0.5911039974
159	0.5910575657
160	0.5910387018
161	0.5909726473
162	0.5909411654
163	0.590915117
164	0.5907990426
165	0.5907789394
166	0.5907605985
167	0.5907429484
168	0.5907263701
169	0.590683274
170	0.5906608979
171	0.5905609211
172	0.5904833324
173	0.5903979513
174	0.5903704614
175	0.5903349058
176	0.5903123209
177	0.5902216381
178	0.5901998371
179	0.5901379962
180	0.5900973774
181	0.5900675524
182	0.5900507839
183	0.5900035854
184	0.5899223404
185	0.5898718336
186	0.5897757065
187	0.589748578
188	0.5897106328
189	0.5896729228
190	0.589629596
191	0.5895744335
192	0.5895299186
193	0.5894530472
194	0.5894339892
195	0.5893908225
196	0.5893444991
197	0.5893189148
198	0.5892095862
199	0.5891209248
200	0.5890831195
201	0.589055432
202	0.5890329814
203	0.5889861401
204	0.5889067383
205	0.5888790914
206	0.5887356456
207	0.5886903585
208	0.5885633534
209	0.5885388717
210	0.5884278613
211	0.5884087398
212	0.588383113
213	0.5882845234
214	0.5882603037
215	0.5881772939
216	0.5881142452
217	0.5880590493
218	0.5879962456
219	0.5879575673
220	0.5879336242
221	0.5879032956
222	0.5878805042
223	0.587819127
224	0.5877932743
225	0.5877062313
226	0.587653894
227	0.5875706844
228	0.5875252628
229	0.5874824464
230	0.5874459336
231	0.5873798942
232	0.5873269286
233	0.5872899644
234	0.5872681776
235	0.587235296
236	0.5871441627
237	0.5871049991
238	0.5870821767
239	0.5870254867
240	0.5869797757
241	0.586945717
242	0.5869062661
243	0.5868864119
244	0.5868536219
245	0.5867862812
246	0.5867598869
247	0.5866869374
248	0.5866504579
249	0.5866227065
250	0.5866094335
251	0.5865797034
252	0.5865468826
253	0.5864838699
254	0.5864285296
255	0.5864095989
256	0.5863517031
257	0.5863169242
258	0.5862943525
259	0.5862404608
260	0.5862235374
261	0.5861940754
262	0.5861728575
263	0.5861574947
264	0.586082539
265	0.5860521771
266	0.5859798811
267	0.5859615506
268	0.585932794
269	0.585917831
270	0.5858795174
271	0.5858540036
272	0.5858302853
273	0.5858097569
274	0.5857376645
275	0.5857088065
276	0.5856474886
277	0.5856211491
278	0.5855711018
279	0.5855465283
280	0.5855122499
281	0.5854789624
282	0.5854403273
283	0.585417425
284	0.5853716407
285	0.585324935
286	0.5852953318
287	0.5852761022
288	0.5852498689
289	0.5851840755
290	0.5851565831
291	0.5851364784
292	0.585113296
293	0.5850898522
294	0.5850709068
295	0.5850385312
296	0.5849923313
297	0.5849674739
298	0.5849233709
299	0.5848844534
300	0.5848459745
301	0.5848251402
302	0.5847777104
303	0.5847500798
304	0.5847173185
305	0.584681021
306	0.5846576601
307	0.5846394446
308	0.5845734362
309	0.5845526564
310	0.5845340675
311	0.5845180459
312	0.5844991876
313	0.5844792889
314	0.58445308
315	0.5844399142
316	0.5844093048
317	0.58436869
318	0.5843460568
319	0.5843296861
320	0.5843110392
321	0.5842932102
322	0.5842764694
323	0.5842377795
324	0.5842180614
325	0.5841858014
326	0.5841628922
327	0.5841496137
328	0.5841185167
329	0.5840937479
330	0.5840744277
331	0.5840520341
332	0.5840368767
333	0.583997681
334	0.5839789608
335	0.583952199
336	0.5839240343
337	0.5838848039
338	0.5838682271
339	0.5838495366
340	0.5838188553
341	0.5837997308
342	0.5837744316
343	0.5837577379
344	0.5837326016
345	0.5837146257
346	0.5836980248
347	0.583671311
348	0.5836562218
349	0.5836389139
350	0.5836212614
351	0.5835928535
352	0.583568327
353	0.5835485798
354	0.5835280761
355	0.5835102501
356	0.5834964317
357	0.5834827843
358	0.5834635891
359	0.583422769
360	0.5834094162
361	0.5833911924
362	0.5833629091
363	0.5833451333
364	0.5833309463
365	0.5833111685
366	0.5832928062
367	0.5832757179
368	0.5832567146
369	0.5832480454
370	0.5832312711
371	0.5831995579
372	0.5831807003
373	0.5831470815
374	0.5831164352
375	0.5831043928
376	0.5830926922
377	0.5830728507
378	0.5830585946
379	0.5830392981
380	0.5829998364
381	0.582969964
382	0.5829611951
383	0.5829464084
384	0.5829117016
385	0.5828934842
386	0.582871061
387	0.5828502689
388	0.582822911
389	0.5827938708
390	0.5827674336
391	0.5827517475
392	0.5827339048
393	0.5827189341
394	0.5827050961
395	0.5826801854
396	0.5826607902
397	0.5826413823
398	0.5826105538
399	0.5825964131
400	0.5825700824
401	0.5825564116
402	0.5825331739
403	0.5825172115
404	0.5824978023
405	0.5824848182
406	0.5824590387
407	0.5824425357
408	0.5824314267
409	0.5824026939
410	0.5823885481
411	0.5823702002
412	0.5823435135
413	0.5823296675
414	0.5823157724
415	0.5823026229
416	0.5822809588
417	0.5822637279
418	0.5822368057
419	0.5822175341
420	0.5822051072
421	0.5821755266
422	0.5821543442
423	0.5821309148
424	0.5821151712
425	0.5820978823
426	0.5820839172
427	0.5820721131
428	0.5820605543
429	0.5820410372
430	0.5820260043
431	0.5819947624
432	0.5819630583
433	0.5819266398
434	0.5819071849
435	0.581886961
436	0.5818743625
437	0.5818666019
438	0.5818525045
439	0.5818295901
440	0.5818139687
441	0.5817921469
442	0.5817737378
443	0.581741525
444	0.5817211982
445	0.5817043138
446	0.5816855321
447	0.5816690231
448	0.5816497253
449	0.5816321958
450	0.5816149087
451	0.5815919059
452	0.5815793744
453	0.5815657457
454	0.581548597
455	0.5815261266
456	0.5815142053
457	0.5815001527
458	0.581488231
459	0.5814697767
460	0.581454289
461	0.5814332551
462	0.5814221672
463	0.5814054595
464	0.5813818389
465	0.5813521253
466	0.5813322239
467	0.5813171645
468	0.5812987014
469	0.5812798815
470	0.5812643205
471	0.5812488365
472	0.5812360663
473	0.5812140952
474	0.5811885562
475	0.5811708681
476	0.5811526422
477	0.5811429559
478	0.5811193584
479	0.5811010536
480	0.5810826273
481	0.5810670153
482	0.5810508306
483	0.5810368839
484	0.581016044
485	0.5809929372
486	0.5809732592
487	0.5809564576
488	0.5809369628
489	0.5809227352
490	0.5809068157
491	0.5808924792
492	0.5808745211
493	0.5808592403
494	0.5808337767
495	0.5808109505
496	0.5807921047
497	0.5807741348
498	0.5807529218
499	0.5807390656
500	0.5807239679
501	0.5807228593
502	0.5807021928
503	0.5806876816
504	0.5806661279
505	0.5806436351
506	0.5806251061
507	0.5806059915
508	0.5805877748
509	0.5805713147
510	0.5805593514
511	0.5805421843
512	0.5805235618
513	0.5805111437
514	0.5804982443
515	0.5804862043
516	0.5804719977
517	0.5804592556
518	0.5804447425
519	0.5804270879
520	0.5804072694
521	0.5803963063
522	0.5803740574
523	0.5803597419
524	0.5803389755
525	0.5803212147
526	0.5802928696
527	0.5802642173
528	0.5802479135
529	0.5802342928
530	0.5802187893
531	0.58020211
532	0.580186545
533	0.5801730227
534	0.5801553269
535	0.5801399536
536	0.5801218104
537	0.5801106488
538	0.5800978176
539	0.5800806131
540	0.5800678929
541	0.5800498737
542	0.5800333383
543	0.5800204027
544	0.5800141206
545	0.5800030286
546	0.579984636
547	0.5799682828
548	0.5799516941
549	0.5799377401
550	0.579919301
551	0.5799040617
552	0.5798898655
553	0.5798782081
554	0.5798686159
555	0.5798527019
556	0.5798417115
557	0.5798409439
558	0.579828855
559	0.579815075
560	0.579803405
561	0.5797896297
562	0.5797756863
563	0.5797572457
564	0.5797452084
565	0.5797318147
566	0.5797182949
567	0.5796924773
568	0.5796771665
569	0.5796624063
570	0.5796578052
571	0.5796290169
572	0.5796131371
573	0.5795977805
574	0.5795769339
575	0.5795552443
576	0.579534818
577	0.5795219832
578	0.5795024113
579	0.579487474
580	0.5794733162
581	0.5794570816
582	0.5794370253
583	0.5794240935
584	0.5794098539
585	0.5793928341
586	0.5793675026
587	0.5793487637
588	0.5793287528
589	0.5793181402
590	0.5793050046
591	0.5792918981
592	0.5792741094
593	0.5792599706
594	0.579236811
595	0.5792219125
596	0.5791972553
597	0.5791807846
598	0.5791667274
599	0.5791534443
600	0.5791336328
601	0.5791134386
602	0.579095191
603	0.5790732863
604	0.5790524581
605	0.579034327
606	0.579018136
607	0.579006247
608	0.5789924985
609	0.5789774918
610	0.578961533
611	0.578948344
612	0.5789385784
613	0.5789360877
614	0.5789247141
615	0.5789072064
616	0.5788868709
617	0.5788711234
618	0.5788512866
619	0.57883827
620	0.5788236477
621	0.5788156063
622	0.578814978
623	0.5788037823
624	0.5787897447
625	0.5787741868
626	0.5787587146
627	0.5787429521
628	0.578724477
629	0.5787105096
630	0.5787004317
631	0.5786957876
632	0.5786805251
633	0.5786640317
634	0.5786527286
635	0.578636669
636	0.5786205143
637	0.578609392
638	0.5785972098
639	0.5785816731
640	0.5785619193
641	0.5785510868
642	0.5785374531
643	0.5785369393
644	0.5785219674
645	0.5785097042
646	0.5784963038
647	0.5784794648
648	0.5784670798
649	0.578450269
650	0.5784311597
651	0.5784138855
652	0.5783927503
653	0.5783743386
654	0.5783643359
655	0.5783490136
656	0.5783373353
657	0.5783209696
658	0.5783105888
659	0.5782915657
660	0.5782912405
661	0.5782767497
662	0.5782590755
663	0.5782461283
664	0.5782310843
665	0.5782209016
666	0.5782086332
667	0.5781927566
668	0.5781757739
669	0.5781621199
670	0.5781454871
671	0.5781260934
672	0.5781090771
673	0.5780967927
674	0.5780872532
675	0.5780757069
676	0.578062371
677	0.578045717
678	0.5780320061
679	0.5780138851
680	0.5780011471
681	0.5779949928
682	0.5779841873
683	0.577967494
684	0.5779525483
685	0.5779399791
686	0.5779228614
687	0.577911237
688	0.5778976727
689	0.5778793682
690	0.5778639588
691	0.5778424142
692	0.5778316725
693	0.577819108
694	0.5778074648
695	0.5777858571
696	0.5777738012
697	0.5777511532
698	0.5777364251
699	0.5777190204
